Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,Income
31-50,Private,HS-grad,Divorced,Tech-support,Not-in-family,White,Female,30,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,MoreThan50K
31-50,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,18-21,United-States,LessThan50K
>50,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,MoreThan50K
22-30,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,18-21,United-States,MoreThan50K
31-50,Private,Bachelors,Divorced,Adm-clerical,Unmarried,White,Male,45,United-States,MoreThan50K
31-50,Federal-gov,HS-grad,Divorced,Protective-serv,Unmarried,Black,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Separated,Sales,Unmarried,White,Female,55,United-States,LessThan50K
31-50,?,Some-college,Never-married,?,Unmarried,Black,Female,40,United-States,LessThan50K
31-50,Private,Some-college,Separated,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,Black,Male,50,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,52,United-States,LessThan50K
>50,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,30,United-States,LessThan50K
>50,Private,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,30,United-States,MoreThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
>50,Private,Some-college,Divorced,Sales,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,40,United-States,LessThan50K
>50,Self-emp-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,80,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,18-21,United-States,LessThan50K
31-50,Self-emp-inc,Masters,Never-married,Prof-specialty,Not-in-family,Black,Male,50,Trinadad&Tobago,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,30,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Female,45,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,Iran,LessThan50K
31-50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,MoreThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Sales,Not-in-family,White,Female,25,United-States,LessThan50K
22-30,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,38,United-States,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,LessThan50K
>50,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,MoreThan50K
31-50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,44,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,47,United-States,MoreThan50K
31-50,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,1,Vietnam,LessThan50K
18-21,?,HS-grad,Never-married,?,Other-relative,White,Female,35,United-States,LessThan50K
>50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,?,MoreThan50K
22-30,Private,Bachelors,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,50,Taiwan,LessThan50K
31-50,Private,Some-college,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,Not-in-family,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,LessThan50K
31-50,Federal-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,MoreThan50K
22-30,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,45,Mexico,LessThan50K
31-50,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,MoreThan50K
31-50,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,Bachelors,Divorced,Other-service,Unmarried,Black,Male,45,United-States,MoreThan50K
22-30,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,LessThan50K
>50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Black,Male,45,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
>50,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,MoreThan50K
>50,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,45,United-States,LessThan50K
31-50,Private,HS-grad,Separated,Craft-repair,Not-in-family,White,Male,35,United-States,LessThan50K
22-30,Local-gov,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Tech-support,Not-in-family,Black,Male,40,?,LessThan50K
31-50,?,10th,Divorced,?,Not-in-family,White,Male,40,Columbia,LessThan50K
22-30,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,18-21,United-States,LessThan50K
22-30,?,7th-8th,Never-married,?,Not-in-family,White,Female,40,Mexico,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,18-21,United-States,LessThan50K
31-50,Private,9th,Separated,Other-service,Unmarried,Black,Female,40,?,LessThan50K
31-50,Private,Bachelors,Divorced,Tech-support,Not-in-family,White,Male,40,United-States,LessThan50K
>50,Federal-gov,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,England,LessThan50K
>50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,24,United-States,MoreThan50K
>50,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,MoreThan50K
>50,?,Bachelors,Married-civ-spouse,?,Husband,White,Male,8,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Sales,Own-child,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,11th,Divorced,Sales,Own-child,Black,Female,37,United-States,LessThan50K
22-30,Federal-gov,HS-grad,Never-married,Other-service,Own-child,White,Female,40,United-States,LessThan50K
22-30,Local-gov,HS-grad,Never-married,Other-service,Own-child,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,99,United-States,LessThan50K
31-50,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
31-50,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Portugal,LessThan50K
31-50,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,MoreThan50K
>50,Private,1st-4th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,LessThan50K
22-30,State-gov,Some-college,Never-married,Adm-clerical,Own-child,Black,Male,18-21,United-States,LessThan50K
31-50,Federal-gov,Some-college,Divorced,Other-service,Not-in-family,Black,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,40,Dominican-Republic,LessThan50K
22-30,?,Bachelors,Never-married,?,Not-in-family,White,Male,13,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,36,United-States,LessThan50K
31-50,Self-emp-not-inc,12th,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,60,Vietnam,LessThan50K
31-50,Private,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,LessThan50K
>50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,47,United-States,MoreThan50K
31-50,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,65,United-States,LessThan50K
31-50,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,Assoc-voc,Never-married,Sales,Unmarried,White,Female,55,?,LessThan50K
>50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,28,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Self-emp-inc,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,70,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Separated,Sales,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Private,Some-college,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,LessThan50K
>50,Private,HS-grad,Widowed,Priv-house-serv,Unmarried,White,Female,25,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Adm-clerical,Own-child,White,Female,40,United-States,LessThan50K
>50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,MoreThan50K
31-50,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Female,40,United-States,LessThan50K
>50,Self-emp-not-inc,1st-4th,Married-civ-spouse,Sales,Husband,White,Male,35,Mexico,LessThan50K
31-50,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,32,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Sales,Own-child,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,42,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,25,United-States,LessThan50K
>50,Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,27,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,25,United-States,MoreThan50K
31-50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
31-50,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,MoreThan50K
18-21,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Female,40,United-States,LessThan50K
22-30,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,LessThan50K
31-50,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,30,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Other-service,Own-child,White,Female,25,United-States,LessThan50K
31-50,Private,9th,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,45,China,LessThan50K
22-30,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,65,United-States,LessThan50K
31-50,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,MoreThan50K
31-50,Self-emp-not-inc,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,Female,48,United-States,MoreThan50K
31-50,Local-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,LessThan50K
31-50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,35,United-States,LessThan50K
31-50,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,40,United-States,LessThan50K
>50,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,LessThan50K
>50,Private,Bachelors,Divorced,Sales,Not-in-family,Black,Male,48,United-States,MoreThan50K
31-50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,United-States,MoreThan50K
31-50,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,LessThan50K
22-30,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,70,United-States,LessThan50K
22-30,Self-emp-not-inc,Assoc-voc,Never-married,Craft-repair,Own-child,White,Male,60,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,Assoc-voc,Divorced,Other-service,Unmarried,White,Female,32,United-States,LessThan50K
18-21,Private,10th,Never-married,Sales,Unmarried,White,Female,25,United-States,LessThan50K
>50,?,Some-college,Married-civ-spouse,?,Husband,White,Male,18-21,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,25,United-States,LessThan50K
31-50,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,MoreThan50K
31-50,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,LessThan50K
>50,?,Some-college,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,38,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,MoreThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,24,United-States,LessThan50K
>50,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,32,United-States,LessThan50K
31-50,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,MoreThan50K
31-50,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,36,England,MoreThan50K
31-50,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,45,United-States,LessThan50K
>50,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,18-21,United-States,MoreThan50K
31-50,Private,Some-college,Never-married,Sales,Unmarried,White,Male,35,United-States,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,Black,Male,45,United-States,MoreThan50K
>50,Private,9th,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,LessThan50K
>50,Self-emp-inc,12th,Widowed,Sales,Not-in-family,White,Male,45,United-States,MoreThan50K
31-50,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,LessThan50K
>50,?,HS-grad,Widowed,?,Unmarried,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,18-21,United-States,LessThan50K
31-50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,HS-grad,Never-married,Craft-repair,Other-relative,Other,Male,40,Nicaragua,LessThan50K
22-30,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,LessThan50K
31-50,Private,Some-college,Divorced,Handlers-cleaners,Own-child,White,Male,40,United-States,LessThan50K
>50,Self-emp-not-inc,11th,Widowed,Other-service,Unmarried,White,Female,50,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,LessThan50K
>50,Private,Some-college,Widowed,Prof-specialty,Not-in-family,White,Female,8,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,30,United-States,LessThan50K
31-50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
22-30,?,Assoc-acdm,Married-civ-spouse,?,Husband,White,Male,18-21,United-States,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,MoreThan50K
>50,Local-gov,HS-grad,Widowed,Other-service,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,50,United-States,MoreThan50K
31-50,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,MoreThan50K
>50,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Other-service,Wife,Other,Female,40,United-States,LessThan50K
31-50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,15,United-States,LessThan50K
22-30,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Own-child,White,Male,8,United-States,LessThan50K
>50,?,11th,Married-civ-spouse,?,Husband,White,Male,40,United-States,LessThan50K
>50,Self-emp-not-inc,7th-8th,Widowed,Farming-fishing,Not-in-family,White,Male,5,United-States,LessThan50K
31-50,Local-gov,Bachelors,Never-married,Other-service,Own-child,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,60,United-States,LessThan50K
>50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Assoc-acdm,Divorced,Other-service,Own-child,White,Female,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,Some-college,Never-married,Other-service,Own-child,White,Female,25,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,54,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Sales,Own-child,White,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,45,United-States,LessThan50K
31-50,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,45,United-States,MoreThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,MoreThan50K
22-30,State-gov,Bachelors,Never-married,Protective-serv,Not-in-family,Black,Male,40,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,MoreThan50K
>50,Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,White,Female,38,United-States,LessThan50K
>50,State-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,35,United-States,LessThan50K
31-50,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,42,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,LessThan50K
>50,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,7th-8th,Never-married,Craft-repair,Not-in-family,White,Male,25,Germany,LessThan50K
22-30,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,MoreThan50K
31-50,Self-emp-not-inc,HS-grad,Divorced,Tech-support,Not-in-family,White,Male,60,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,LessThan50K
31-50,Private,Assoc-acdm,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,40,United-States,LessThan50K
22-30,Private,Assoc-voc,Never-married,Craft-repair,Own-child,White,Male,48,United-States,LessThan50K
31-50,Self-emp-not-inc,Some-college,Married-spouse-absent,Other-service,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,MoreThan50K
31-50,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States,LessThan50K
31-50,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,MoreThan50K
18-21,State-gov,Some-college,Never-married,Craft-repair,Own-child,White,Male,35,United-States,LessThan50K
>50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,35,United-States,LessThan50K
>50,?,Some-college,Divorced,?,Not-in-family,Black,Male,50,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,10th,Divorced,Sales,Own-child,White,Female,35,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Handlers-cleaners,Other-relative,White,Female,40,Cuba,LessThan50K
31-50,?,7th-8th,Married-civ-spouse,?,Wife,White,Female,40,Mexico,LessThan50K
>50,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,48,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
31-50,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,50,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Private,10th,Married-civ-spouse,Other-service,Wife,White,Female,8,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Other-relative,White,Female,18-21,United-States,LessThan50K
31-50,Private,Assoc-voc,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,30,United-States,LessThan50K
22-30,?,Bachelors,Never-married,?,Not-in-family,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Prof-school,Never-married,Exec-managerial,Not-in-family,White,Female,40,Cuba,LessThan50K
31-50,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Male,35,United-States,LessThan50K
>50,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,LessThan50K
22-30,?,HS-grad,Separated,?,Unmarried,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,38,United-States,LessThan50K
22-30,Private,Assoc-acdm,Divorced,Sales,Unmarried,White,Female,40,United-States,LessThan50K
>50,State-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,MoreThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
>50,Private,10th,Divorced,Adm-clerical,Not-in-family,White,Female,36,United-States,LessThan50K
>50,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,40,Hungary,MoreThan50K
31-50,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Sales,Unmarried,White,Female,35,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,10,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,MoreThan50K
